"hash","name","slug","description","iconUrl","tier","itemType","itemTypeName","defense","power","recovery","mobility","resilience","attack","zoom","roundsPerMinute","impact","range","stability","magazine","reloadSpeed","handling","aimAssistance","recoilDirection"
2148117737,"Strikes","strikes","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/9d6049b56206da2b207bc660f6c113c6.png","None","Quest","Quest",,,,,,,,,,,,,,,,
2148305277,"Raven Shard","raven-shard","Hope burns brightest among broken things.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/30d570868cbcb3902045b6aa174fd087.jpg","Common","Armor","Helmet",300,28,1,,,,,,,,,,,,,
2151435657,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2154427219,"Sovereign Plate","sovereign-plate","""Opportunities will arise to profit from our mission, to accrue personal power and wealth. Decline them."" —Laws of the Executors, Vol. 12","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/7d1eaf804ca9ea87891002684d38f169.jpg","Legendary","Armor","Chest Armor",300,35,,,,,,,,,,,,,,
2158062501,"Clan XP","clan-xp","Earn Clan XP in strikes, raids, the Crucible, or world activities.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/b91b4743330faa3c3f4f17062cb9774f.png","None","None","",,,,,,,,,,,,,,,,
2159363321,"Be Thy Guide","be-thy-guide","An honored gift, given to those who seek the farthest edges of maps yet written.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/216c059a5f86266233aa4707e530089d.jpg","Legendary","Armor","Hunter Cloak",300,28,,,,,,,,,,,,,,
2160569198,"Gensym Knight Boots","gensym-knight-boots","""Congratulations on finding your true calling in life. You have been an… adequate assistant."" —Asher Mir","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/d51b810a30fe5730ac5baa76be172e71.jpg","Legendary","Armor","Leg Armor",300,35,,,,,,,,,,,,,,
2162276668,"Cry Defiance","cry-defiance","They took our City, but they could not take our will to act.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/cfd3883487b3fbaeacd0cef74839b081.jpg","Common","Armor","Leg Armor",300,35,1,,,,,,,,,,,,,
2162502468,"Random Mod","random-mod","A mod with arbitrarily generated upgrades.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/2e5b10642a53ebc43453a3150e36bea3.jpg","Basic","Mod","",,,,,,,,,,,,,,,,
2167159522,"Io Treasure Map","io-treasure-map","""Do me a favor and just look into that Pyramidion thing, would you?  If the Vex are studying the best of humanity, you know they've got stuff on me in there.” —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159523,"Io Treasure Map","io-treasure-map","""Gotta love the views on Io. I remember watching Jupiter float over the horizon, all big and stormy. I left a cache up there, and… fell asleep. Next thing I know, my Ghost's reviving me at the base of the cliff. Guess I roll around in my sleep.” —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159528,"Io Treasure Map","io-treasure-map","""Bear with me. I have this memory on Io where I was just sniping Vex from a ledge. Then the sky went dark, and man, I can't remember anything but pain and running and calling for an evac. I know I left something behind on that one."" —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159529,"Io Treasure Map","io-treasure-map","""Asher called me to rant about a Taken Blight destroying a research wing of the Cabal base, and I'm like, why are you telling me? We're not friends; and then he mentions seeing one of my caches in the debris. Survived a Taken Blight. Not a bad design, if I do say so myself."" —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159530,"Io Treasure Map","io-treasure-map","""Damn Rhinos. Made off with everything from my lockers when they ransacked the Tower. This one here, they dragged to Io and apparently left it behind. Last ping I got came from their abandoned base on the Echo Mesa."" —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159531,"Io Treasure Map","io-treasure-map","""The lead I got from Asher was some Psion was seen making off with this one somewhere in the Echo Mesa. He mumbled something about it being on top of some Cabal checkpoint, before it—well—fell into a pit of Taken. And we all know how that turns out."" —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159532,"Io Treasure Map","io-treasure-map","""You ever talk to Banshee much? He's got this saying: Sometime the deeper you go, the less you'll ever understand. The Cabal are kind of like that. Why they feel the need to drag my stuff into their damn Io base… beyond me."" —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159533,"Io Treasure Map","io-treasure-map","""OK, another live cache report here… Gotta give the Cabal credit. They're great at digging tunnels. Then again, so are worms… and snakes… and woodchucks… and crabs... and ants… ugh, I hate ants."" —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159534,"Io Treasure Map","io-treasure-map","""OK, so, Albios's memorial service was on Io. Sacred to Warlocks, blah blah blah. Don't get me wrong, I liked Al—but the service ran a bit long. Ended up betting Banshee I could make a few hairy jumps high up on the Mesa. Broke both my legs, but I did it. I forget what Banshee gave me, but I know I left it in a cache up there somewhere.” —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2167159535,"Io Treasure Map","io-treasure-map","""So word is one of the Cabal's drill engineers found another one of my caches. I don't know if I did such a good job sealing it or if those dumb rhino fingers are too fat to pry it open. Anyway, it's been spotted in some hole near that drill site. I guess Ghaul called them back before they could get into it."" —Cayde-6","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/380abd89da68ba3d6a2c0010056a48b1.jpg","Rare","None","Treasure Map",,,,,,,,,,,,,,,,
2168486467,"Wicked Sister","wicked-sister","The bad influence in the family.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/0f65245ef16bb30b88e7b98bb83cc5f0.jpg","Legendary","Weapon","Grenade Launcher",,42,,,,300,13,120,,,43,5,47,46,70,64
2169941019,"Meditation: ""Looped""","meditation-looped","Revisit this mission and reflect on its role in your recovery.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/d6ec804795a6ec7723548184740af653.jpg","Legendary","None","",,,,,,,,,,,,,,,,
2179902607,"Strikes Challenges","strikes-challenges","Speak to Zavala to collect your reward.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/c78c087bbbded51f16a8d00ecedd4ffe.png","None","None","",,,,,,,,,,,,,,,,
2179934441,"MIDA Synergy","mida-synergy","This weapon grants speed benefits when MIDA Multi-Tool is also equipped.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/143e03e1d36e7fcbde6ed7728d187236.png","Legendary","Mod","Trait",,,,,,,,,,,,,,,,
2182378279,"Meditation: ""Chosen""","meditation-chosen","Revisit this mission and reflect on its role in your recovery.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/d6ec804795a6ec7723548184740af653.jpg","Legendary","None","",,,,,,,,,,,,,,,,
2189867880,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2191387553,"Nightfall Aura","nightfall-aura","An Aura that marks you as one of the Vanguard's most trusted warriors. Lasts until the next weekly reset.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/4404247bde7595f3d36217c12c2ba3de.jpg","Legendary","Aura","",,,,,,,,,,,,,,,,
2191401041,"Phoenix Strife Type 0","phoenix-strife-type-0","""The greatest compliment you can pay in the Crucible is to fight with everything you've got."" —Lord Shaxx","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/9135c4d5d5b49aa479080cfd4bca206f.jpg","Legendary","Armor","Helmet",300,35,,,,,,,,,,,,,,
2191793652,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2193118393,"Longview SLR10","longview-slr10","Balanced scope. Medium zoom. \n  •  Increases range\n  •  Slightly increases handling speed","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/f09ce16aa9c794fb9063b145d878adde.png","Legendary","Mod","Scope",,,,,,,,,,,,,,,,
2193118396,"Ambush SLH25","ambush-slh25","Agile, snappy scope. Short zoom.\n  •  Increases handling speed\n  •  Slightly increases range","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/f09ce16aa9c794fb9063b145d878adde.png","Legendary","Mod","Scope",,,,,,,,,,,,,,,,
2193118397,"EagleEye SLR20","eagleeye-slr20","Powerful scope. Long zoom. \n  •  Greatly increases range\n  •  Decreases handling speed","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/6606087f63ee806c4243fdaf9eff4620.png","Legendary","Mod","Scope",,,,,,,,,,,,,,,,
2193118398,"Shortgaze SLH10","shortgaze-slh10","Thin-lens scope. Short zoom. \n  •  Greatly increases handling speed","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/f09ce16aa9c794fb9063b145d878adde.png","Legendary","Mod","Scope",,,,,,,,,,,,,,,,
2193118399,"Longview SLR20","longview-slr20","Strong optics. Long zoom.\n  •  Increases range","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/f09ce16aa9c794fb9063b145d878adde.png","Legendary","Mod","Scope",,,,,,,,,,,,,,,,
2193494688,"Boots of the Fulminator","boots-of-the-fulminator","“What was she? A creature of the Light? Or the other end of the spectrum? The Councilors never finished their analysis.” —Calus, Emperor of the Cabal","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/699fc3ca3aecd47c0e3808fd92defa40.jpg","Legendary","Armor","Leg Armor",300,35,,,,,,,,,,,,,,
2193494689,"Boots of the Emperor's Minister","boots-of-the-emperors-minister","It's all for the sake of appearances.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/bc422f8e5ab3c0b865669ea9d752a9d1.jpg","Legendary","Armor","Leg Armor",0,0,,,,,,,,,,,,,,
2199055252,"Io Cache Detector","io-cache-detector","Detect caches within a 30-meter range while on Io.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/6995f053b74c8eeb72577aa655a9ff72.png","Basic","Mod","Ghost Module",,,,,,,,,,,,,,,,
2201177519,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2207022575,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2209280306,"IS 5 Circle","is-5-circle","Circular iron sights. Short zoom. \n  •  Greatly increases handling speed","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/b619fe4f2c4aff5a17823ab91a1d86b9.png","Legendary","Mod","Sight",,,,,,,,,,,,,,,,
2209280307,"IS 2 Classic","is-2-classic","Rugged and simple iron sights. Short zoom. \n  •  Increases handling speed\n  •  Slightly increases range","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/b619fe4f2c4aff5a17823ab91a1d86b9.png","Legendary","Mod","Sight",,,,,,,,,,,,,,,,
2209451511,"Pariah","pariah","Hawthorne forged this weapon out of scraps and salvage during her years alone in the wilds.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/deb34a3c1077e07cfd8b12abd3343cf0.jpg","Basic","Weapon","Auto Rifle",,1,,,,10,16,450,29,64,42,31,42,42,36,64
